CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
0.5,1.5,1.5,1.5,2.5,1.5,5.9994270449742695,2.5,4
0.5,2.5,5.5,2.5,7.5,2.5,6.5,2.5,10
5.5,2.5,7.5,2.5,6.5,2.5,7.5,5.5,11
0.5,1.5,0.5,2.5,4.5,3.5,6.5,4.5,8
5.5,2.5,1.5,2.5,4.5,3.5,7.5,3.5,19
1.5,4.5,2.5,5.5,6.5,4.5,6.5,4.5,3
2.5,1.5,5.5,2.5,8.5,2.5,6.5,1.5,3
0.5,4.5,0.5,3.5,4.5,2.5,6.5,0.5,6
0.5,3.5,5.5,1.5,7.5,2.5,6.5,3.5,9
0.5,1.5,1.5,3.5,0.5,3.5,6.5,1.5,24
1.5,3.5,3.5,2.5,5.5,3.5,8.5,5.5,24
0.5,3.5,2.5,2.5,6.499999999999999,1.0220570410429415,8.5,0.5,11
0.5,4.5,4.5,3.5,7.5,3.5,7.5,4.5,12
1.5,2.5,5.5,1.5,8.5,2.5,7.972790571809656,4.499999999999999,13
2.5,1.5,8.5,2.5,8.5,1.5,6.5,2.5,4
0.5,4.5,1.5,3.5,8.5,3.5,0.5,3.5,8
1.5,3.5,8.5,3.5,0.5,3.5,3.5,5.5,9
0.5,2.5,2.5,3.5,4.5,3.5,7.5,3.5,6
0.5,1.5,2.5,1.5,8.5,1.5,7.5,0.5,8
0.5,4.5,5.5,3.5,8.5,2.5,8.5,1.5,22
0.5,3.5,0.5,3.5,3.5,3.5,7.5,0.5,6
0.5,1.5,1.5,1.5,1.5,1.5,7.5,1.5,9
0.5,3.5,3.5,3.5,7.5,2.5,6.5,1.5,4
0.5,4.5,0.5,4.5,4.5,4.5,8.5,2.5,4
0.5,2.5,3.5,2.5,7.5,2.5,8.5,1.5,6
0.5,4.5,1.5,3.5,4.5,1.5,8.5,1.5,8
0.5,3.5,0.5,3.5,4.5,4.5,7.5,4.5,8
0.5,1.5,0.5,2.5,4.5,2.5,7.5,2.5,8
0.5,0.5,3.5,1.5,7.5,2.5,7.5,3.5,11
0.5,0.5,0.5,1.5,3.5,3.5,8.5,4.5,23
0.5,2.5,1.5,2.5,1.5,0.5,3.5,0.5,6
0.5,4.5,0.5,5.5,1.5,5.5,5.5,3.5,4
2.5,5.5,5.5,0.5,0.5,3.5,0.5,1.5,2
7.5,3.5,7.5,2.5,4.5,4.5,5.5,5.5,1
0.5,0.5,0.5,1.5,2.5,1.5,7.5,2.5,5
0.5,3.5,2.5,3.5,1.5,1.5,3.5,1.5,8
0.5,2.5,0.5,3.5,2.5,3.5,5.5,2.5,23
2.5,3.5,7.5,3.5,7.5,2.5,4.5,4.5,24
0.5,2.5,0.5,2.5,2.5,1.5,7.5,0.5,8
3.5,2.5,6.5,1.5,6.5,2.5,5.5,0.5,24
0.5,3.5,1.5,3.5,6.5,2.5,8.5,0.5,5
0.5,3.5,2.5,2.5,4.5,2.5,6.5,1.5,8
0.5,3.5,0.5,2.5,4.5,2.5,7.5,0.5,23
0.5,4.5,3.5,3.5,7.5,3.5,7.5,4.5,5
1.5,2.5,4.5,2.5,8.5,2.5,8.5,2.5,10
2.5,1.5,5.5,3.5,7.5,3.5,7.5,2.5,12
0.5,2.5,1.5,3.5,4.5,3.5,6.5,0.5,7
0.5,1.5,2.5,2.5,6.5,3.5,7.5,4.5,5
3.5,1.5,8.5,2.5,7.979943437443944,4.5,4.5,5.5,5
1.5,5.5,1.5,5.5,5.5,4.5,7.5,3.5,23
0.5,2.5,0.5,1.5,2.5,2.5,8.5,2.5,15
0.5,3.5,0.5,4.5,2.5,4.5,8.5,4.5,7
2.5,3.5,6.5,3.5,8.5,3.5,5.5,2.5,23
0.5,2.5,3.5,2.5,8.5,3.5,6.5,5.5,8
0.5,4.5,1.5,3.5,2.5,2.5,6.5,3.5,21
2.5,1.5,3.5,1.5,7.5,2.5,7.5,3.5,3
0.5,2.5,2.5,1.5,7.5,2.5,7.5,1.5,6
1.5,4.5,4.5,3.5,1.5,4.5,6.5,5.5,8
1.5,3.5,5.5,2.5,8.5,2.5,7.5,5.5,10
0.5,3.5,2.5,2.5,6.5,1.9619840223215874,7.006770959872858,0.5,22
1.5,3.5,2.5,3.5,6.5,3.5,8.5,0.5,3
0.5,1.5,1.5,0.5,0.5,0.5,6.5,2.5,3
0.5,3.5,0.5,2.5,0.5,2.5,5.5,1.5,6
3.5,2.5,8.5,3.5,6.5,3.5,6.5,2.5,2
1.5,1.5,4.5,1.5,7.5,2.5,7.5,1.5,5
0.5,1.5,2.5,1.5,7.5,1.5,4.99431387376575,1.5000000000000002,6
0.5,2.5,3.5,2.5,6.5,1.5,8.005895041563225,0.5,9
0.5,2.5,1.5,1.5,3.5,2.5,8.5,4.5,7
2.5,3.5,6.5,2.5,7.5,3.5,5.5,5.5,10
0.5,2.5,0.5,3.5,2.5,3.5,7.5,3.5,3
0.5,4.5,0.5,5.5,3.5,5.5,6.5,5.5,23
0.5,1.5,6.5,2.5,6.5,2.5,5.5,2.5,3
0.5,3.5,0.5,4.5,1.5,4.5,7.5,4.5,5
3.5,2.5,8.5,2.5,8.5,2.5,5.965392375864483,2.5,6
8.5,2.5,8.5,2.5,5.965392375864483,2.5,8.5,2.5,7
0.5,4.5,0.5,4.5,2.5,2.5,7.5,2.5,5
0.5,2.5,3.5,1.5,1.5,2.5,3.5,5.5,23
0.5,1.5,0.5,1.5,6.5,2.5,8.5,1.5,8
4.5,2.5,4.5,2.5,7.5,2.5,7.5,1.5,14
0.5,2.5,3.5,3.5,7.5,3.5,8.5,3.5,14
3.5,3.5,7.5,3.5,8.5,3.5,4.5,0.5,15
0.5,4.5,1.5,5.5,3.5,4.5,8.5,2.5,4
0.5,4.5,1.5,4.5,3.5,5.5,8.5,4.5,10
0.5,2.5,0.5,2.5,2.5,4.5,6.5,5.5,13
0.5,2.5,0.5,3.5,0.5,4.5,6.5,4.5,17
0.5,1.5,0.5,1.5,4.5,1.9569037764026318,8.5,4.5,22
2.5,0.5,6.5,1.5,6.5,3.5,5.5,5.5,10
0.5,2.5,4.5,3.5,6.5,2.5,8.5,2.5,24
0.5,4.5,3.5,3.5,6.5,3.5,7.5,4.5,23
2.5,3.5,6.5,3.5,7.5,1.5,7.5,2.5,3
6.5,3.5,7.5,1.5,7.5,2.5,8.5,0.5,4
2.5,1.5,4.5,5.5,3.5,2.5,8.5,0.5,8
0.5,2.5,1.5,3.5,1.5,4.5,4.5,4.5,8
1.5,1.5,4.5,2.5,7.5,2.5,8.5,4.0262006523391936,3
6.5,2.5,8.5,2.5,6.5,3.5,3.5,2.5,6
0.5,2.5,2.5,2.5,8.5,3.5,4.5,2.5,23
0.9878133653112643,4.500000000000001,2.5,3.5,5.5,3.5,7.5,4.5,3
0.5,3.5,4.5,3.5,7.5,4.5,8.5,5.5,10
0.5,3.5,2.5,3.5,4.5,2.5,7.5,1.5,23
0.5,3.5,0.5,2.5,4.5,3.5,8.5,4.5,1
2.5,2.5,0.5,3.5,2.5,3.5,5.5,0.5,5
0.5,4.5,3.5,3.5,8.5,3.5,8.5,3.5,6
2.5,4.5,8.5,3.5,7.987835490456798,2.5,2.5,1.5,5
0.5,2.5,4.5,2.5,6.5,2.5,5.5,3.5,4
0.5,1.5,3.5,3.5,5.5,3.5,8.5,1.5,11
1.5,3.5,5.5,3.5,7.5,3.5,7.5,4.5,7
0.5,2.5,0.5,2.5,2.5,3.5,8.5,2.5,7
0.5,1.5,3.5,2.5,7.5,2.5,8.5,4.5,11
0.5,2.5,0.5,2.5,0.5,2.5,7.5,4.5,10
0.5,0.5,1.5,1.5,5.5,1.5,8.5,1.5,8
0.5,3.5,1.5,2.5,0.5,2.5,2.5,4.5,22
0.5,3.5,2.5,3.5,4.5,2.5,2.5,1.5,23
0.5,2.5,3.5,3.5,8.5,2.5,5.5,2.5,23
3.5,3.5,8.5,2.5,5.5,2.5,3.026183656203553,0.5,24
2.5,2.5,5.5,2.5,7.5,2.5,7.5,5.5,4
1.5,1.5,4.5,2.5,6.5,2.5,7.5,2.5,12
0.5,4.5,0.5,5.5,4.5,3.5,7.5,1.5,8
1.5,2.5,0.5,4.5,0.5,1.5,1.5,1.5,8
1.5,4.5,3.5,3.5,8.5,4.5,8.5,4.5,8
0.5,4.5,0.5,1.5,1.5,1.5,5.5,0.5,9
0.5,3.5,4.5,3.5,7.5,3.5,7.5,5.5,14
0.5,4.5,2.5,3.5,5.5,2.5,5.5,1.5,23
0.5,4.5,4.5,2.5,8.021789772198057,1.4999999999999998,4.5,2.5,18
4.5,2.5,8.021789772198057,1.4999999999999998,4.5,2.5,5.5,2.5,19
0.5,5.5,3.5,3.5,8.5,2.5,7.5,2.5,7
3.5,3.5,8.5,2.5,7.5,2.5,5.5,5.5,8
1.5,3.5,6.5,2.5,8.5,2.5,8.5,2.5,11
0.5,1.5,6.5,3.5,8.5,3.5,5.5,3.5,8
1.5,2.5,1.5,1.5,3.5,3.5,8.5,5.5,9
0.5,3.5,0.5,3.5,2.5,3.5,7.5,1.5,24
0.5,2.5,4.5,2.5,8.5,2.5,5.5,1.5,3
0.5,1.5,3.5,2.5,5.5,2.5,7.5,1.5,3
0.5,2.5,0.5,1.5,2.5,3.5,6.5,5.5,3
1.5,1.5,5.5,3.5,7.5,3.5,4.5,2.5,3
5.5,3.5,7.5,3.5,4.5,2.5,4.5,5.5,4
0.5,5.5,3.5,4.5,5.5,2.5,3.4520758802633833,1.9760379401316917,7
1.5,4.5,4.5,3.5,8.5,3.5,8.5,2.5,10
4.5,3.5,8.5,3.5,8.5,2.5,7.5,4.5,11
1.5,3.5,2.5,3.5,7.5,1.5,8.5,0.5,3
0.5,3.5,1.5,3.5,1.5,4.5,6.5,2.5,7
0.5,2.5,6.5,3.5,8.5,2.5,4.5,2.5,9
1.5,1.5,3.5,1.5,7.5,2.5,6.5,4.5,11
0.5,2.5,2.5,3.5,6.5,3.5,6.5,5.5,4
0.5,4.5,0.5,3.5,0.5,4.5,4.981739349875018,5.5,6
0.5,2.5,1.5,3.5,2.5,3.5,8.5,4.5,7
0.5,3.5,0.5,3.5,2.5,4.5,3.5,0.5,8
2.5,2.5,5.5,3.5,6.5,3.5,7.5,4.5,11
0.5,3.5,1.5,1.5,3.5,1.5,8.5,3.5,21
0.5,1.5,2.5,2.5,7.5,3.5,7.5,1.5,8
0.5,2.5,4.5,1.5,1.5,1.5,4.5,1.5,8
0.5,4.5,4.5,3.5,8.5,3.5,7.5,3.5,18
0.5,4.5,1.0172736599769512,1.5,3.5,0.5,6.5,2.5,18
4.5,3.5,8.5,3.5,7.5,3.5,5.5,1.5,19
3.5,5.5,8.5,4.5,8.5,4.5,5.5,3.5,22
0.5,4.5,0.5,4.5,3.5,3.5,8.5,2.5,16
0.5,2.5,0.5,2.5,1.5,3.5,4.5,5.5,8
0.5,3.5,0.5,2.5,1.5,1.5,5.5,0.5,11
1.5,4.5,4.5,2.5,8.5,2.5,7.5,2.5,1
4.5,2.5,8.5,2.5,7.5,2.5,7.5,3.5,2
0.5,3.5,1.5,2.5,5.5,2.5,6.5,4.5,6
0.5,3.5,0.5,2.5,2.5,3.5,6.5,4.5,10
2.5,3.5,3.5,3.5,5.5,2.5,7.5,2.5,3
3.5,3.5,5.5,2.5,7.5,2.5,6.5,3.5,4
0.5,4.5,3.5,3.5,4.5,2.5,6.5,0.5,22
3.5,3.5,5.5,2.5,8.5,2.5,5.5,4.5,23
0.5,1.5,1.5,1.5,4.5,2.5,8.5,2.5,10
1.5,1.5,4.5,2.5,8.5,2.5,6.5,0.5,11
0.5,4.5,4.5,4.5,8.5,3.5,7.958181194185024,0.5,17
0.5,1.5,4.000821526432426,1.5,8.5,1.5,6.5,0.5,18
0.5,4.5,2.5,4.5,7.5,3.5,6.5,5.5,23
0.5,3.5,0.5,3.5,2.5,3.5,7.5,0.5,4
0.5,1.5,0.5,2.5,3.5,3.5,8.5,4.5,4
0.5,2.5,1.5,1.5,2.5,3.5,8.5,2.5,5
0.5,3.5,0.5,5.5,1.5,5.5,5.5,3.5,6
0.5,4.5,1.5,3.5,4.5,2.5,7.5,2.5,8
0.5,4.5,4.5,3.5,8.5,2.5,7.5,5.5,14
7.5,4.5,8.5,4.5,3.5,3.5,6.5,3.5,4
0.5,3.5,2.5,1.5,5.5,3.5,6.5,5.5,4
0.5,4.5,0.5,3.5,1.5,1.5,7.5,1.5,5
0.5,1.5,2.5,1.5,4.5,3.5,7.5,3.5,11
0.5,1.5,2.5,2.5,4.5,3.5,8.5,5.5,18
0.5,1.5,3.5,2.5,7.5,3.5,8.5,3.5,3
1.5,1.5,5.5,1.5,8.5,2.5,5.5,5.5,10
1.5,2.5,4.5,3.5,8.5,3.5,7.5,3.5,12
0.5,3.5,0.5,3.5,3.5,3.5,7.5,0.5,6
0.5,3.5,3.5,3.5,7.5,0.5,0.5,4.5,7
0.5,2.5,2.5,2.5,8.5,3.5,7.5,5.5,8
0.5,3.5,0.5,3.5,4.5,2.5,7.5,3.5,16
0.5,3.5,4.5,2.5,7.5,3.5,6.5,4.5,17
0.5,1.5,1.5,2.5,2.5,1.5,4.5,2.5,10
0.5,3.5,3.5,3.5,5.5,2.5,7.5,4.5,7
3.5,3.5,5.5,2.5,7.5,4.5,7.5,4.5,8
2.5,3.5,6.5,4.5,0.5,4.5,3.5,4.5,10
3.5,2.5,7.5,2.5,7.5,2.5,5.5,0.5,11
0.5,1.5,1.5,1.5,5.5,2.5,8.5,4.5,1
0.5,3.5,1.5,2.5,1.5,5.5,4.5,3.5,3
0.5,0.5,4.5,2.5,6.5,2.5,5.5,1.5,7
5.5,2.5,6.5,2.5,4.5,1.5,5.5,1.5,12
2.5,2.5,6.5,3.5,7.5,2.5,6.5,1.5,16
0.5,3.5,2.5,3.5,3.5,3.5,4.5,3.5,7
2.5,3.5,3.5,3.5,4.5,3.5,8.5,1.5,8
0.5,1.5,0.5,1.5,3.5,1.5,8.5,1.5,10
5.5,2.5,7.5,2.5,6.5,2.5,5.5,0.5,11
1.5,3.5,6.5,3.5,6.5,1.5,4.5,0.5,23
2.5,1.5,4.5,2.5,7.5,2.5,4.5,2.5,1
