CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
0.5,3.5,3.5,2.5,6.5,2.5,6.5,0.5,3
0.5,4.5,0.5,2.5,4.5,2.5,8.5,4.5,21
0.5,3.5,2.5,3.5,5.5,2.5,6.5,3.5,23
1.5,3.5,0.5,3.5,4.5,3.5,8.5,2.5,1
0.5,2.5,2.5,2.5,5.5,3.5,8.5,0.5,7
0.5,2.5,1.5,3.5,6.5,3.5,7.5,0.5,8
1.5,1.5,3.5,2.5,7.5,2.5,8.5,1.5,20
1.5,1.5,3.5,2.5,8.5,5.5,0.5,3.5,6
0.5,1.5,0.5,1.5,1.5,3.5,7.5,5.5,13
8.5,2.5,7.5,3.5,4.5,3.5,6.5,3.5,5
0.5,4.5,3.5,2.5,6.5,2.5,7.5,1.5,22
3.5,2.5,6.5,2.5,7.5,1.5,4.5,0.5,23
0.5,0.5,1.5,0.5,5.5,2.5,8.5,3.5,8
1.5,4.5,0.5,3.5,2.5,3.5,6.5,5.5,8
1.5,0.5,5.5,2.5,8.5,3.5,6.5,2.5,9
0.5,4.5,3.5,3.5,6.5,3.5,8.5,1.5,4
0.5,2.5,3.5,2.5,8.5,3.5,6.5,4.5,7
0.5,3.5,0.5,5.5,2.5,4.5,5.5,3.5,8
3.5,2.5,8.5,3.5,6.5,4.5,5.5,5.5,8
0.5,4.5,5.5,3.5,6.5,2.5,6.5,3.5,22
5.5,2.5,5.5,2.5,4.5,1.5,5.5,3.5,4
3.5,3.5,7.5,4.5,7.5,3.5,4.5,4.5,6
0.5,4.5,2.5,3.5,5.5,3.5,6.999418872698551,2.4999999999999996,9
2.5,3.5,5.5,3.5,6.999418872698551,2.4999999999999996,7.5,2.5,10
0.5,4.5,1.9827603462018686,3.4999999999999996,4.5,4.5,5.5,4.5,23
1.5,3.5,4.5,2.5,6.5,2.5,5.5,2.5,11
0.5,1.5,0.5,2.5,3.5,2.5,6.5,1.5,24
0.5,2.5,2.5,3.5,6.5,3.5,8.5,0.5,10
0.5,2.5,2.5,2.5,3.5,3.5,5.5,4.5,4
0.5,3.5,3.5,3.5,8.5,2.5,8.5,2.5,5
