CaloAX,CaloAY,CaloBX,CaloBY,StartingCalo
5.5,2.5,7.5,4.5,20
0.5,2.5,3.5,1.5,20
2.5,4.5,3.5,5.5,21
0.5,4.5,2.5,4.5,21
0.5,4.5,2.5,4.5,21
1.5,2.5,2.5,1.5,21
2.5,4.5,7.5,5.5,22
2.5,4.5,5.5,4.5,22
0.5,1.5,0.5,0.5,22
2.5,1.5,8.5,0.5,22
2.5,1.5,3.5,0.5,22
1.5,2.5,1.5,1.5,23
0.5,2.5,0.5,3.5,23
0.5,0.5,3.5,0.5,23
0.5,4.5,3.5,5.5,24
0.5,4.5,1.5,4.5,24
1.5,2.5,3.5,2.5,1
1.5,0.5,8.5,1.5,1
0.5,2.5,2.5,2.5,3
2.5,0.5,8.5,0.5,3
1.5,0.5,8.5,0.5,3
0.5,0.5,2.5,1.5,3
1.5,3.5,7.5,1.5,3
0.5,1.5,1.5,2.5,3
0.5,4.5,2.5,4.5,4
0.5,1.5,2.5,0.5,4
2.5,2.5,6.5,2.5,4
2.5,2.5,6.5,3.5,4
1.5,4.5,0.5,5.5,4
0.5,2.5,2.5,2.5,4
0.5,3.5,3.5,2.5,4
0.5,2.5,3.5,0.5,4
6.5,3.5,8.5,5.5,5
1.5,5.5,7.5,5.5,5
2.5,2.5,5.5,2.5,5
3.5,2.5,6.5,2.5,5
3.5,2.5,7.5,2.5,5
0.5,4.5,6.5,5.5,6
0.5,3.5,4.5,3.5,6
7.5,2.5,8.5,2.5,6
0.5,2.5,1.5,2.5,6
6.5,2.5,8.5,3.5,6
0.5,1.5,3.5,3.5,6
0.5,1.5,2.5,1.5,6
0.5,1.5,3.5,0.5,6
0.5,3.5,4.5,2.5,7
0.5,2.5,3.5,4.5,7
4.5,3.5,8.5,2.5,7
0.5,2.5,1.5,1.5,7
3.5,3.5,8.5,4.5,7
2.5,1.5,8.5,2.5,7
8.5,2.5,5.5,4.5,8
0.5,2.5,3.5,1.5,8
2.5,2.5,6.5,1.5,8
0.5,1.5,1.5,2.5,8
1.5,1.5,5.5,2.5,8
0.5,3.5,2.5,4.5,8
4.955130756771716,1.5000000000000002,7.969148360942955,0.5,8
3.5,1.5,6.5,0.5,9
1.5,4.5,8.5,5.5,9
0.5,1.5,3.5,3.5,9
2.5,1.5,7.5,4.5,9
1.5,2.5,2.5,4.5,9
2.5,4.5,8.5,5.5,10
1.5,3.5,0.5,2.5,10
0.5,4.5,5.5,4.5,10
3.5,3.5,6.5,5.5,10
2.5,3.5,5.5,4.5,10
0.5,3.5,1.5,4.5,10
3.5,2.5,5.5,0.5,10
1.5,3.5,6.5,4.5,11
0.5,0.5,1.5,1.5,11
0.5,2.5,3.5,0.5,11
0.5,2.5,2.5,3.5,11
1.5,3.5,4.5,1.5,11
1.5,4.5,5.5,5.5,11
0.5,2.5,4.5,3.5,12
2.5,3.5,7.5,2.5,12
0.5,4.5,1.5,5.5,12
3.5,2.5,7.5,1.5,13
1.5,5.5,5.5,5.5,13
0.5,2.5,2.5,2.5,14
1.5,1.5,3.5,1.5,15
3.5,2.5,7.5,0.5,16
0.5,3.5,0.5,3.5,19
0.5,3.5,5.5,1.5,19
0.5,1.5,1.5,2.5,20
0.5,4.5,1.5,3.5,20
1.5,2.5,3.5,3.5,21
0.5,3.5,2.5,2.5,21
0.5,4.5,4.5,3.5,21
0.5,3.5,0.5,2.5,22
0.5,3.5,3.5,1.5,22
3.5,3.5,7.994696901028159,5.00530309897184,22
2.5,2.5,5.5,1.5,22
0.5,5.5,7.5,5.5,23
2.5,2.5,8.5,0.5,24
0.5,3.5,0.5,3.5,1
0.5,2.5,3.5,4.5,1
1.5,1.5,0.5,2.5,1
0.5,2.5,1.5,5.5,1
4.5,2.5,7.5,2.5,1
1.5,4.5,2.5,5.5,1
6.5,3.5,8.5,5.5,1
0.5,3.5,5.5,3.5,2
0.5,2.5,5.5,0.5,2
7.5,2.5,8.5,4.5,2
5.5,3.5,7.5,5.5,3
0.5,4.5,2.5,4.5,3
1.5,2.5,5.5,3.5,3
1.5,5.5,7.5,5.5,3
0.5,4.5,3.5,5.5,4
5.5,3.5,6.5,0.5,4
1.5,2.5,8.5,3.5,4
2.5,0.5,6.5,2.5,4
0.5,1.5,3.5,1.5,4
1.5,1.5,3.5,1.5,5
1.5,4.5,4.5,4.5,5
6.5,2.5,0.5,3.5,5
3.5,2.5,6.5,0.5,5
0.5,2.5,2.5,4.5,5
1.5,1.5,6.5,4.5,6
4.5,4.5,7.5,5.5,6
0.5,1.5,4.5,2.5,6
0.5,2.5,2.5,3.5,6
1.5,4.5,5.5,4.5,6
0.5,3.5,4.5,4.5,6
0.5,2.5,2.5,1.5,6
1.5,3.5,7.5,4.5,7
